TIPO ;SITUAÇÃO;Cód.Equipamento;Cod. Material;Descrição;OC;Qtde. Solicitada;Qtde. Pendente;Qtde. Entregue;Data da Solicitação;Data O.C.;Dias p/ entrega;Status entrega;Data p/ entrega;Dias para OC ser gerada;Nr. Solicitação;Nr. Requisição;Nr. O.C.;Cód. Obj Custo;Descrição Obj. Custo;Valor Última Compra;Cod. Fornecedor;Fornecedor;Cidade;Estado;Status;Índice;Status no Almoxarifado;Ref.1;N_SOLIC;N_OC;Teste;Dias s/ O.C.;Mês
Estoque;;Estoque;92;92 - PNEU 215/75R 17.5 RHS;Tem OC;4;4;;18/06/2025;05/07/2025;0  DC;Atrasado;05/07/2025;17;408187;;170489;221;Almoxarifados - Estoque geral;R$ 1.073,89;3532;HC PNEUS SA         ;João Pessoa;PB;Pendente;;Entrega pendente;1;1;0,166666667;0;;junho
Veic. Leves;;33;789;789 - GUIDON NXR BROS 150 KS;Tem OC;1;0;1;28/03/2025;10/04/2025;;;;13;397420;1139982;166131;719;Automóveis e utilitários - Adm. Agricola;R$ 19,47;14446;AGROMOTO;Jaboatão dos Guararapes;PE;Pedido entregue!;;Aguardando retirada;1;1;1;0;0;março
Carregadeiras;;3027;842;842 - CLIMATIZADOR 12V TACOR-AR PARA CABINA DA CARREGADEIRA SANTAL;Tem OC;1;0;1;06/06/2025;27/06/2025;0  DC;Atrasado;27/06/2025;21;406371;;169723;221;Almoxarifados - Estoque geral;R$ 849,00;11198;4E EQUIPAMENTOS;Goiânia;GO;Pedido entregue!;;Aguardando retirada;1;1;1;0;;junho
Máquinas pesadas;;4008;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;2;0;2;16/05/2025;20/05/2025;;;;4;403151;;167936;;;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Carregadeiras;;3015;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;16/05/2025;20/05/2025;;;;4;403157;;167936;;;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Máquinas pesadas;;4011;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;2;0;2;16/05/2025;20/05/2025;;;;4;403158;;167936;;;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,333333333;0;0;maio
Carregadeiras;;3029;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;20/05/2025;23/05/2025;;;;3;403761;;168031;221;Almoxarifados - Estoque geral;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,2;0;;maio
Carregadeiras;;3014;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;20/05/2025;23/05/2025;;;;3;403766;;168031;221;Almoxarifados - Estoque geral;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,2;0;;maio
Carregadeiras;;3023;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;20/05/2025;23/05/2025;;;;3;403767;;168031;221;Almoxarifados - Estoque geral;R$ 445,00;;;;;Pedido entregue!;;Aguardando retirada;1;1;0,2;0;;maio
Carregadeiras;;3024;857;857 - BATERIA 100 AMPERES - 26MF (ZETA CAIXA ALTA);Tem OC;1;0;1;02/07/2025;04/07/2025;1  UT;Atrasado;05/07/2025;2;409792;;170453;221;Almoxarifados - Estoque geral;R$ 445,00;15478;BRB BATERIAS ;Cabedelo;PB;Pedido entregue!;;Aguardando retirada;1;1;0,25;0;;julho
